District,Democratic Votes,Republican Votes,Total Votes,Year,State
5,75006,247211,326073,2014,Louisiana
6,95127,234200,332888,2014,Louisiana
1,186674,94751,308898,2014,Maine
2,118568,133320,283473,2014,Maine
1,73843,176342,250418,2014,Maryland
2,120412,70411,196354,2014,Maryland
3,128594,87029,215946,2014,Maryland
4,134628,54217,268583,2014,Maryland
5,144725,80752,226040,2014,Maryland
6,94704,91930,190536,2014,Maryland
7,144639,55860,206809,2014,Maryland
8,136722,87859,225097,2014,Maryland
1,167612,0,171110,2014,Massachusetts
2,169640,0,172745,2014,Massachusetts
3,139104,81638,220946,2014,Massachusetts
4,184158,0,188098,2014,Massachusetts
5,182100,0,185260,2014,Massachusetts
6,149638,111989,272219,2014,Massachusetts
7,142133,0,144546,2014,Massachusetts
8,200644,0,203351,2014,Massachusetts
9,140413,114971,255541,2014,Massachusetts
1,113263,130414,250131,2014,Michigan
2,70851,135568,213072,2014,Michigan
3,84720,125754,217165,2014,Michigan
4,85777,123962,219423,2014,Michigan
5,148182,69222,222138,2014,Michigan
6,84391,116801,208976,2014,Michigan
7,92083,119564,223685,2014,Michigan
8,102269,132739,243125,2014,Michigan
9,136342,81470,225757,2014,Michigan
10,67143,157069,228692,2014,Michigan
11,101681,140435,251238,2014,Michigan
12,134346,64716,206660,2014,Michigan
13,132710,27234,166947,2014,Michigan
14,165272,41801,212468,2014,Michigan
1,122851,103536,226695,2014,Minnesota
2,95565,137778,245848,2014,Minnesota
3,101846,167515,269585,2014,Minnesota
4,147857,79492,241637,2014,Minnesota
5,167079,56577,236010,2014,Minnesota
6,90926,133328,236846,2014,Minnesota
7,130546,109955,240835,2014,Minnesota
8,129090,125358,266083,2014,Minnesota
1,43713,102622,151111,2014,Mississippi
2,100688,0,148646,2014,Mississippi
3,47744,117771,170946,2014,Mississippi
4,37869,108776,155576,2014,Mississippi
1,119315,35273,163494,2014,Missouri
2,75384,148191,231117,2014,Missouri
3,52021,130940,191620,2014,Missouri
4,46464,120014,176286,2014,Missouri
5,79256,69071,153635,2014,Missouri
6,55157,124616,186970,2014,Missouri
7,47282,104054,163957,2014,Missouri
8,38721,106124,159224,2014,Missouri
1,148690,203871,367963,2014,Montana
1,55838,123219,179057,2014,Nebraska
2,83872,78157,171509,2014,Nebraska
3,45524,139440,184964,2014,Nebraska
1,45643,30413,80299,2014,Nevada
2,52016,122402,186210,2014,Nevada
3,52644,88528,145719,2014,Nevada
4,59844,63466,130781,2014,Nevada
1,116769,125508,242736,2014,New Hampshire
2,130700,106871,238184,2014,New Hampshire
1,93315,64073,162492,2014,New Jersey
2,66026,108875,177148,2014,New Jersey
3,82537,100471,186103,2014,New Jersey
4,54415,118826,174849,2014,New Jersey
5,81808,104678,188921,2014,New Jersey
6,72190,46891,120457,2014,New Jersey
7,68232,104287,175997,2014,New Jersey
8,61510,15141,79518,2014,New Jersey
9,82498,36246,120459,2014,New Jersey
10,95734,14154,112123,2014,New Jersey
11,65477,109455,174932,2014,New Jersey
12,90430,54168,148366,2014,New Jersey
1,105474,74558,180032,2014,New Mexico
2,52499,95209,147777,2014,New Mexico
3,113249,70775,184076,2014,New Mexico
1,78722,94035,172757,2014,New York
2,41814,95177,139272,2014,New York
3,90032,74269,164301,2014,New York
4,89793,80127,169920,2014,New York
5,75712,0,79582,2014,New York
6,55368,0,55368,2014,New York
7,56593,5713,63704,2014,New York
8,77255,0,83928,2014,New York
9,82659,0,92386,2014,New York
10,89080,0,101676,2014,New York
11,45244,58886,106817,2014,New York
12,90603,22731,113334,2014,New York
13,68396,0,78202,2014,New York
14,50352,0,57087,2014,New York
15,54906,0,56521,2014,New York
16,99658,0,99658,2014,New York
17,98150,75781,173931,2014,New York
18,88993,85660,178947,2014,New York
19,72470,131594,204064,2014,New York
20,125111,79104,204215,2014,New York
21,59063,96226,174527,2014,New York
22,0,129851,129851,2014,New York
23,70242,113130,183372,2014,New York
24,80304,118474,198778,2014,New York
25,96803,95932,192735,2014,New York
26,113210,52909,166119,2014,New York
27,58911,144675,203586,2014,New York
1,154333,55990,210323,2014,North Carolina
2,85479,122128,207607,2014,North Carolina
3,66182,139415,205597,2014,North Carolina
4,169946,57416,227362,2014,North Carolina
5,88973,139279,228252,2014,North Carolina
6,103758,147312,251070,2014,North Carolina
7,84054,134431,226504,2014,North Carolina
8,65854,121568,187422,2014,North Carolina
9,0,163080,173668,2014,North Carolina
10,85292,133504,218796,2014,North Carolina
11,85342,144682,230024,2014,North Carolina
12,130096,42568,172664,2014,North Carolina
13,114718,153991,268709,2014,North Carolina
1,95678,138100,248670,2014,North Dakota
1,72604,124779,197383,2014,Ohio
2,68453,132658,201111,2014,Ohio
3,91769,51475,143261,2014,Ohio
4,60165,125907,186072,2014,Ohio
5,58507,134449,202300,2014,Ohio
6,73561,111026,190652,2014,Ohio
7,0,143959,143959,2014,Ohio
8,51534,126539,188330,2014,Ohio
9,108870,51704,160715,2014,Ohio
10,63249,130752,200606,2014,Ohio
11,137105,35461,172566,2014,Ohio
12,61360,150573,221081,2014,Ohio
13,120230,55233,175549,2014,Ohio
14,70856,135736,214580,2014,Ohio
15,66125,128496,194621,2014,Ohio
16,75199,132176,207375,2014,Ohio
1,0,0,0,2014,Oklahoma
2,38964,110925,158407,2014,Oklahoma
3,36270,133335,169605,2014,Oklahoma
4,40998,117721,166268,2014,Oklahoma
5,57790,95632,159133,2014,Oklahoma
1,160038,96245,279253,2014,Oregon
2,73785,202374,287425,2014,Oregon
3,211748,57424,292757,2014,Oregon
4,181624,116534,310179,2014,Oregon
5,150944,110332,281088,2014,Oregon
1,131248,27193,158441,2014,Pennsylvania
2,181141,25397,206538,2014,Pennsylvania
3,73931,113859,187790,2014,Pennsylvania
4,50250,147090,197340,2014,Pennsylvania
5,65839,115018,180857,2014,Pennsylvania
6,92901,119643,212544,2014,Pennsylvania
7,89256,145869,235125,2014,Pennsylvania
8,84767,137731,222498,2014,Pennsylvania
9,63223,110094,173317,2014,Pennsylvania
10,44737,112851,180322,2014,Pennsylvania
11,62228,122464,184692,2014,Pennsylvania
12,87928,127993,215921,2014,Pennsylvania
13,123601,60549,184150,2014,Pennsylvania
14,148351,0,148351,2014,Pennsylvania
15,0,128285,128285,2014,Pennsylvania
16,74513,101722,176235,2014,Pennsylvania
17,93680,71371,165051,2014,Pennsylvania
18,0,166076,166076,2014,Pennsylvania
1,87060,58877,146353,2014,Rhode Island
2,105716,63844,169904,2014,Rhode Island
1,0,119392,127815,2014,South Carolina
2,68719,121649,194808,2014,South Carolina
3,47181,116741,164009,2014,South Carolina
4,0,126452,149049,2014,South Carolina
5,66802,103078,175145,2014,South Carolina
6,125747,44311,173432,2014,South Carolina
7,68576,102833,171524,2014,South Carolina
1,92485,183834,276319,2014,South Dakota
1,0,115533,139470,2014,Tennessee
2,37612,120883,166751,2014,Tennessee
3,53983,97344,156097,2014,Tennessee
4,51357,84815,145418,2014,Tennessee
5,96148,55078,154276,2014,Tennessee
6,37232,115231,162097,2014,Tennessee
7,42280,110534,157907,2014,Tennessee
8,42433,122255,172595,2014,Tennessee
9,87376,27173,116550,2014,Tennessee
1,33476,115084,148560,2014,Texas
2,44462,101936,150026,2014,Texas
3,0,113404,138280,2014,Texas
4,0,115085,115085,2014,Texas
5,0,88998,104262,2014,Texas
6,55027,92334,150996,2014,Texas
7,49478,90606,143219,2014,Texas
8,0,125066,140013,2014,Texas
9,78109,0,86003,2014,Texas
10,60243,109726,176460,2014,Texas
11,0,107939,119574,2014,Texas
12,41757,113186,158730,2014,Texas
13,16822,110842,131451,2014,Texas
14,52545,90116,145698,2014,Texas
15,48708,39016,90184,2014,Texas
16,49338,21324,73105,2014,Texas
17,43049,85807,132865,2014,Texas
18,76097,26249,106010,2014,Texas
19,21458,90160,116818,2014,Texas
20,66554,0,87964,2014,Texas
21,0,135660,188996,2014,Texas
22,47844,100861,151566,2014,Texas
23,55037,57459,115429,2014,Texas
24,46548,93712,144073,2014,Texas
25,64463,107120,177883,2014,Texas
26,0,116944,141470,2014,Texas
27,44152,83342,131047,2014,Texas
28,62508,0,76136,2014,Texas
29,41321,0,46143,2014,Texas
30,93041,0,105793,2014,Texas
31,45715,91607,143028,2014,Texas
32,55325,96495,156096,2014,Texas
33,43769,0,50592,2014,Texas
34,47503,30811,79877,2014,Texas
35,60124,32040,96225,2014,Texas
36,29543,101663,133842,2014,Texas
1,36422,84231,130034,2014,Utah
2,47585,88915,146188,2014,Utah
3,32059,102952,142580,2014,Utah
4,67425,74936,147168,2014,Utah
1,123349,59432,191504,2014,Vermont
1,72059,131861,209621,2014,Virginia
2,71178,101558,173060,2014,Virginia
3,139197,0,147402,2014,Virginia
4,75270,120684,200638,2014,Virginia
5,73482,124735,204945,2014,Virginia
6,0,133898,179708,2014,Virginia
7,89914,148026,243351,2014,Virginia
8,128102,63810,203076,2014,Virginia
9,0,117465,162815,2014,Virginia
10,89957,125914,222910,2014,Virginia
11,106780,75796,187805,2014,Virginia
1,124151,101428,225579,2014,Washington
2,122173,79518,201691,2014,Washington
3,78018,124796,202814,2014,Washington
4,0,153079,153079,2014,Washington
5,87772,135470,223242,2014,Washington
6,141265,83025,224290,2014,Washington
7,203954,47921,251875,2014,Washington
8,73003,125741,198744,2014,Washington
9,118132,48662,166794,2014,Washington
10,99279,82213,181492,2014,Washington
1,52109,92491,144737,2014,West Virginia
2,67687,72619,154250,2014,West Virginia
3,62688,77713,140401,2014,West Virginia
1,105552,182316,287897,2014,Wisconsin
2,224920,103619,328539,2014,Wisconsin
3,155368,119540,275036,2014,Wisconsin
4,179045,68490,254537,2014,Wisconsin
5,101190,231160,332350,2014,Wisconsin
6,122212,169767,298844,2014,Wisconsin
7,112949,169891,286561,2014,Wisconsin
8,101345,188553,289898,2014,Wisconsin
1,37803,113038,165100,2014,Wyoming
1,0,208083,215893,2016,Alabama
2,112089,134886,276584,2016,Alabama
3,94549,192164,287104,2016,Alabama
4,0,235925,239444,2016,Alabama
5,102234,205647,308326,2016,Alabama
6,83709,245313,329306,2016,Alabama
7,229330,0,233028,2016,Alabama
1,111019,155088,308198,2016,Alaska
1,142219,121745,280710,2016,Arizona
2,135873,179806,315679,2016,Arizona
3,148973,1635,151035,2016,Arizona
4,81296,203487,284783,2016,Arizona
5,114940,205184,320124,2016,Arizona
6,122866,201578,324444,2016,Arizona
7,119465,39286,158811,2016,Arizona
8,0,204942,298971,2016,Arizona
9,169055,108350,277511,2016,Arizona
1,0,183866,241047,2016,Arkansas
2,111347,176472,302464,2016,Arkansas
3,0,217192,280907,2016,Arkansas
4,0,182885,244159,2016,Arkansas
1,128588,185448,314036,2016,California
2,254194,76572,330766,2016,California
3,152513,104453,256966,2016,California
4,130845,220133,350978,2016,California
5,224526,67565,292091,2016,California
6,177565,57848,235413,2016,California
7,152133,145168,297301,2016,California
8,83035,136972,220007,2016,California
9,133163,98992,232155,2016,California
10,116470,124671,241141,2016,California
11,214868,83341,298209,2016,California
12,274035,0,338845,2016,California
13,293117,29754,322871,2016,California
14,231630,54817,286447,2016,California
15,198578,70619,269197,2016,California
16,97473,70483,167956,2016,California
17,233192,0,233192,2016,California
18,230460,93470,323930,2016,California
19,181802,64061,245863,2016,California
20,180980,74811,255791,2016,California
21,57282,75126,132408,2016,California
22,76211,158755,234966,2016,California
23,74468,167116,241584,2016,California
24,166034,144780,310814,2016,California
25,122406,138755,261161,2016,California
26,169248,111059,280307,2016,California
27,168977,81655,250632,2016,California
28,210883,59526,270409,2016,California
29,171824,0,171824,2016,California
30,205279,77325,282604,2016,California
31,121070,94866,215936,2016,California
32,186646,0,186646,2016,California
33,219397,110822,330219,2016,California
34,159156,0,159156,2016,California
35,124044,47309,171353,2016,California
36,144348,88269,232617,2016,California
37,237272,0,237272,2016,California
38,163590,68524,232114,2016,California
39,112679,150777,263456,2016,California
40,106554,0,149297,2016,California
41,128164,69159,197323,2016,California
42,104689,149547,254236,2016,California
43,167017,52499,219516,2016,California
44,178413,0,178413,2016,California
45,129231,182618,311849,2016,California
46,164593,0,164593,2016,California
47,154759,88109,242868,2016,California
48,127715,178701,306416,2016,California
49,154267,155888,310155,2016,California
50,103646,179937,283583,2016,California
51,145162,54362,199524,2016,California
52,181253,139403,320656,2016,California
53,198988,97968,296956,2016,California
1,257254,105030,379036,2016,Colorado
2,260175,170001,457312,2016,Colorado
3,150914,204220,374037,2016,Colorado
4,123642,248230,390633,2016,Colorado
5,111676,225445,361993,2016,Colorado
6,160372,191626,376417,2016,Colorado
7,199758,144066,362010,2016,Colorado
1,200686,105674,312923,2016,Connecticut
2,208818,111149,330248,2016,Connecticut
3,207515,95786,309358,2016,Connecticut
4,187811,125724,313535,2016,Connecticut
5,179252,129801,309053,2016,Connecticut
1,233554,172301,420617,2016,Delaware
1,114079,255107,369186,2016,Florida
2,102801,231163,343362,2016,Florida
3,136338,193843,342700,2016,Florida
4,113088,287509,409662,2016,Florida
5,194549,108325,302874,2016,Florida
6,151051,213519,364570,2016,Florida
7,182039,171583,353655,2016,Florida
8,127127,246483,390561,2016,Florida
9,195311,144450,339761,2016,Florida
10,198491,107498,305989,2016,Florida
11,124713,258016,394719,2016,Florida
12,116110,253559,369669,2016,Florida
13,184693,171149,355842,2016,Florida
14,195789,121088,316877,2016,Florida
15,135475,182999,318474,2016,Florida
16,155262,230654,385916,2016,Florida
17,115974,209348,338675,2016,Florida
18,161918,201488,375927,2016,Florida
19,123812,239225,363166,2016,Florida
20,222914,54646,277560,2016,Florida
21,210606,118038,335861,2016,Florida
22,199113,138737,337850,2016,Florida
23,183225,130818,323120,2016,Florida
24,0,0,0,2016,Florida
25,95319,157921,253240,2016,Florida
26,115493,148547,280542,2016,Florida
27,129760,157917,280542,2016,Florida
1,0,210243,210243,2016,Georgia
2,148543,94056,242599,2016,Georgia
3,95969,207218,303187,2016,Georgia
4,220146,70593,290739,2016,Georgia
5,253781,46768,300549,2016,Georgia
6,124917,201088,326005,2016,Georgia
7,114220,174081,288301,2016,Georgia
8,83225,173983,257208,2016,Georgia
9,0,256535,256535,2016,Georgia
10,0,243725,243725,2016,Georgia
11,105383,217935,323318,2016,Georgia
12,99420,159492,258912,2016,Georgia
13,252833,0,252833,2016,Georgia
14,0,216743,216743,2016,Georgia
1,145417,45958,202357,2016,Hawaii
2,170848,39668,210516,2016,Hawaii
1,113052,242252,355357,2016,Idaho
2,95940,205292,326237,2016,Idaho
1,234037,81817,315862,2016,Illinois
2,235051,59471,294522,2016,Illinois
3,225320,0,225411,2016,Illinois
4,171297,0,171297,2016,Illinois
5,212842,86222,313724,2016,Illinois
6,143591,208555,352146,2016,Illinois
7,250584,46882,297466,2016,Illinois
8,144954,103617,248571,2016,Illinois
9,217306,109550,326948,2016,Illinois
10,150435,135535,285996,2016,Illinois
11,166578,108995,275573,2016,Illinois
12,124246,169976,313002,2016,Illinois
13,126811,187583,314394,2016,Illinois
14,137589,200508,338097,2016,Illinois
15,0,274554,274554,2016,Illinois
16,0,259722,259853,2016,Illinois
17,173125,113943,287068,2016,Illinois
18,96770,250506,347283,2016,Illinois
1,207515,0,254583,2016,Indiana
2,102401,164355,277357,2016,Indiana
3,66023,201396,287247,2016,Indiana
4,91256,193412,299434,2016,Indiana
5,123849,221957,361135,2016,Indiana
6,79135,204920,296385,2016,Indiana
7,158739,94456,264670,2016,Indiana
8,93356,187702,294713,2016,Indiana
9,130627,174791,322843,2016,Indiana
1,177403,206903,384977,2016,Iowa
2,198571,170933,370032,2016,Iowa
3,155002,208598,390287,2016,Iowa
4,142993,226719,370259,2016,Iowa
1,0,169992,257971,2016,Kansas
2,96840,181228,297401,2016,Kansas
3,139300,176022,343113,2016,Kansas
4,81495,166998,275251,2016,Kansas
1,81710,216959,299001,2016,Kentucky
2,0,251825,251825,2016,Kentucky
3,212401,122093,334494,2016,Kentucky
4,94065,233922,327987,2016,Kentucky
5,0,221242,221242,2016,Kentucky
6,128728,202099,330827,2016,Kentucky
1,63785,243645,326788,2016,Louisiana
2,284269,0,284269,2016,Louisiana
3,56215,258632,320454,2016,Louisiana
4,80593,199750,285985,2016,Louisiana
5,0,255662,255662,2016,Louisiana
6,79202,241075,331098,2016,Louisiana
1,227546,164569,392391,2016,Maine
2,159081,192878,352183,2016,Maine
1,103622,242574,362097,2016,Maryland
2,192183,102577,309480,2016,Maryland
3,214640,115048,339675,2016,Maryland
4,237501,68670,320650,2016,Maryland
5,242989,105931,360634,2016,Maryland
6,185770,133081,331973,2016,Maryland
7,238838,69758,318912,2016,Maryland
8,220657,124651,364324,2016,Maryland
1,235803,0,321539,2016,Massachusetts
2,275487,0,280411,2016,Massachusetts
3,236713,107519,344592,2016,Massachusetts
4,265823,113055,379213,2016,Massachusetts
5,285606,0,289807,2016,Massachusetts
6,308923,0,314055,2016,Massachusetts
7,253354,0,256911,2016,Massachusetts
8,271019,102744,374265,2016,Massachusetts
9,211790,127803,379895,2016,Massachusetts
1,144334,197777,355497,2016,Michigan
2,110391,212508,331053,2016,Michigan
3,128400,203545,342365,2016,Michigan
4,101277,194572,304365,2016,Michigan
5,195279,112102,314387,2016,Michigan
6,119580,193259,323259,2016,Michigan
7,134010,184321,334807,2016,Michigan
8,143791,205629,359039,2016,Michigan
9,199661,128937,338161,2016,Michigan
10,110112,215132,340983,2016,Michigan
11,152461,200872,369943,2016,Michigan
12,211378,96104,316665,2016,Michigan
13,198771,40541,248960,2016,Michigan
14,244135,58103,307131,2016,Michigan
1,169074,166526,335600,2016,Minnesota
2,167315,173970,370514,2016,Minnesota
3,169243,223077,393464,2016,Minnesota
4,203299,121032,351944,2016,Minnesota
5,249964,80660,361882,2016,Minnesota
6,123008,235380,358924,2016,Minnesota
7,173589,156952,330848,2016,Minnesota
8,179098,177089,356979,2016,Minnesota
1,83947,206455,300423,2016,Mississippi
2,192343,83542,286626,2016,Mississippi
3,96101,209490,316445,2016,Mississippi
4,77505,181323,278779,2016,Mississippi
1,236993,62714,314024,2016,Missouri
2,155689,241954,413296,2016,Missouri
3,102891,249865,368333,2016,Missouri
4,92510,225348,332234,2016,Missouri
5,190766,123771,324270,2016,Missouri
6,99692,238388,350444,2016,Missouri
7,92756,228692,338607,2016,Missouri
8,70009,229792,308871,2016,Missouri
1,205919,285358,507831,2016,Montana
1,83467,189771,273238,2016,Nebraska
2,137602,141066,288308,2016,Nebraska
3,0,226720,226720,2016,Nebraska
1,116537,54174,188352,2016,Nevada
2,115722,182676,313336,2016,Nevada
3,146869,142926,310963,2016,Nevada
4,128985,118328,265846,2016,Nevada
1,162080,157176,365984,2016,New Hampshire
2,174495,158973,350792,2016,New Hampshire
1,183231,112388,305473,2016,New Jersey
2,110838,176338,297795,2016,New Jersey
3,127526,194596,328060,2016,New Jersey
4,111532,211992,332684,2016,New Jersey
5,172587,157690,337701,2016,New Jersey
6,167895,91908,263435,2016,New Jersey
7,148188,185850,343635,2016,New Jersey
8,134733,32337,174889,2016,New Jersey
9,162642,65376,233242,2016,New Jersey
10,190856,26450,222771,2016,New Jersey
11,130162,194299,334992,2016,New Jersey
12,181430,92407,288634,2016,New Jersey
1,181088,96879,277967,2016,New Mexico
2,85232,143514,228816,2016,New Mexico
3,170612,102730,273342,2016,New Mexico
1,126635,158409,323777,2016,New York
2,102162,157321,292033,2016,New York
3,167758,131534,317335,2016,New York
4,180748,110736,311151,2016,New York
5,197591,26741,233392,2016,New York
6,131463,43770,189246,2016,New York
7,165819,14941,189624,2016,New York
8,203235,0,229996,2016,New York
9,198886,0,231765,2016,New York
10,180117,46275,246228,2016,New York
11,85257,122606,232097,2016,New York
12,230153,49398,293756,2016,New York
13,207194,13129,233408,2016,New York
14,138367,26891,178132,2016,New York
15,165688,6129,173921,2016,New York
16,198811,0,221682,2016,New York
17,193819,0,214530,2016,New York
18,140951,111117,291429,2016,New York
19,123733,134825,303600,2016,New York
20,188428,83328,313759,2016,New York
21,75965,152597,272499,2016,New York
22,102734,113287,278348,2016,New York
23,106600,136964,279634,2016,New York
24,110550,150330,301801,2016,New York
25,168660,113840,325600,2016,New York
26,195322,56930,288666,2016,New York
27,107832,175509,328717,2016,New York
1,240661,101567,350699,2016,North Carolina
2,169082,221485,390567,2016,North Carolina
3,106170,217531,323701,2016,North Carolina
4,279380,130161,409541,2016,North Carolina
5,147887,207625,355512,2016,North Carolina
6,143167,207983,351150,2016,North Carolina
7,135905,211801,347706,2016,North Carolina
8,133182,189863,323045,2016,North Carolina
9,139041,193452,332493,2016,North Carolina
10,128919,220825,349744,2016,North Carolina
11,129103,230405,359508,2016,North Carolina
12,234115,115185,349300,2016,North Carolina
13,156049,199443,355492,2016,North Carolina
1,80377,233980,338459,2016,North Dakota
1,144644,210014,354788,2016,Ohio
2,111694,221193,340279,2016,Ohio
3,199791,91560,291351,2016,Ohio
4,98981,210227,309208,2016,Ohio
5,100392,244599,344991,2016,Ohio
6,88780,213975,302755,2016,Ohio
7,89638,198221,309553,2016,Ohio
8,87794,223833,325506,2016,Ohio
9,193966,88427,282398,2016,Ohio
10,109981,215724,336602,2016,Ohio
11,242917,59769,302686,2016,Ohio
12,112638,251266,377534,2016,Ohio
13,208610,99377,308004,2016,Ohio
14,130907,219191,350269,2016,Ohio
15,113960,222847,336807,2016,Ohio
16,119830,225794,345624,2016,Ohio
1,0,0,0,2016,Oklahoma
2,62387,189389,268870,2016,Oklahoma
3,63090,227525,290615,2016,Oklahoma
4,76472,204143,293189,2016,Oklahoma
